title_xpa,extenses_xpa,meaning_xpa
 〜あいだ(aida)【JLPT N4の文法 Grammar】,電車に乗っている、ずっと音楽を聞いていました,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,バスを待っている、後ろのおばあさんと話をしていました,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,食事の、Youtubeを見ていました,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,外で運動をしている、ずっと雨が降っていました,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,昨日は、家にいる、ずっと本を読んでいました,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,先週末、実家にいる、ずっと掃除をしていました,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,子供が小さいは、ペットを飼わないつもりです,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,妻が寝ているは、いつも静かにしています,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,うちのキッチンにはコンロが一つしかありません,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,お湯を沸かしているは、他のことがでません,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,学校にいるは、スマホを使ってはいけません,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,彼女を待っている、スマホでゲームをしていました,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,先生が話しているは、よく話を聞いてください,while; during / 〜的期间
 〜あいだ(aida)【JLPT N4の文法 Grammar】,日本にいるは、毎日日本語を話すつもりです,while; during / 〜的期间
 あげる(ageru)【JLPT N5 Grammar】,チョコレートをべる？ひとつよ,to give something
 あげる(ageru)【JLPT N5 Grammar】,さんはジョンさんにおかしを,to give something
 あげる(ageru)【JLPT N5 Grammar】,おめでとう,to give something
 あげる(ageru)【JLPT N5 Grammar】,いいものをよ,to give something
 あげる(ageru)【JLPT N5 Grammar】,どうぞ,to give something
 あげる(ageru)【JLPT N5 Grammar】,おさんのにをか,to give something
 あげる(ageru)【JLPT N5 Grammar】,のに、とを,to give something
 あげる(ageru)【JLPT N5 Grammar】,のに、とネクタイを,to give something
 あげる(ageru)【JLPT N5 Grammar】,しゴムがありませんか？私のを1つよ,to give something
 あげる(ageru)【JLPT N5 Grammar】,どうぞ,to give something
 あげる(ageru)【JLPT N5 Grammar】,ほら、あなたのをきましたよ,to give something
 あげる(ageru)【JLPT N5 Grammar】,このをね,to give something
 あげる(ageru)【JLPT N5 Grammar】,「アンパンマン」は、いているにのをし,to give something
 あげる(ageru)【JLPT N5 Grammar】,のはパンですから,to give something
 あげる(ageru)【JLPT N5 Grammar】,このをみわりましたから、よ,to give something
 あげる(ageru)【JLPT N5 Grammar】,はにりますから、とをよ,to give something
 あげる(ageru)【JLPT N5 Grammar】,は、っにおをつもりです,to give something
 ～あとで(ato de)【JLPT N5 Grammar】,の、にをします,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,の、いをします,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,の、だちとびにきます,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,の、みがあります,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,『きはディナーの』というがになりました,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,おをた、レシートをもらわなかったことにがつきました,after / 之后
 ～あとで(ato de)【JLPT N5 Grammar】,ケーキは、おさんがってたべましょうね,after / 之后
